,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
110,CHEMBL326263,N#Cc1ccc(CCOC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,503.59300000000013,5.745480000000006,0.0,4.0,5.649751981665837
111,CHEMBL113956,CCOc1ccc(CCNC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,521.6520000000003,5.845500000000006,1.0,3.0,5.539102157243452
112,CHEMBL115280,O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,413.52100000000013,4.407400000000004,1.0,4.0,6.269217724333611
113,CHEMBL325750,O=C1NCN(c2ccccc2)C12CCN(Cc1ccc3nsnc3c1)CC2,379.4890000000001,2.6198000000000006,1.0,6.0,6.910094888560602
114,CHEMBL115222,CNC(=O)CN1CN(c2ccccc2)C2(CCN(Cc3cc4c(cc3Cl)OCO4)CC2)C1=O,470.9570000000004,2.4555999999999996,1.0,6.0,5.673664139071248
115,CHEMBL325516,O=C(OCCc1ccc(F)cc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,496.5730000000002,6.012900000000006,0.0,3.0,5.581698708680254
116,CHEMBL114484,Cc1ccc(CN2CCC(n3c(O)nc4ccccc43)CC2)c(Cl)c1,355.86900000000014,4.5408200000000045,1.0,3.0,6.318758762624412
117,CHEMBL326962,O=C1NCN(c2ccccc2)C12CCN(Cc1ccc3c(c1)OCO3)CC2,365.43300000000016,2.3438,1.0,5.0,6.254144804826271
118,CHEMBL112457,O=C(/C=C/c1ccccc1)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1,396.5340000000002,5.397600000000005,0.0,2.0,5.0
119,CHEMBL115506,C(=C\c1ccccc1)/CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1,382.55100000000016,5.871000000000005,0.0,2.0,5.0
120,CHEMBL116233,O=C(/C=C/c1ccccc1)NC1CCN(Cc2ccccc2)CC1,320.4360000000001,3.4806000000000026,1.0,2.0,5.327902142064283
121,CHEMBL112413,CN(C/C=C/c1ccccc1)C1CCN(Cc2ccccc2)CC1,320.4800000000001,4.296200000000003,0.0,2.0,5.0
122,CHEMBL111964,CN(C(=O)C#Cc1ccccc1)C1CCN(Cc2ccccc2)CC1,332.44700000000006,3.161100000000002,0.0,2.0,5.309803919971486
123,CHEMBL115934,C(#Cc1ccccc1)CNC1CCN(Cc2ccccc2)CC1,304.43700000000007,3.292300000000002,1.0,2.0,5.0
124,CHEMBL111909,C(=C\c1ccccc1)/CNC1CCN(Cc2ccccc2)CC1,306.45300000000003,3.9540000000000033,1.0,2.0,5.0
125,CHEMBL113282,C(#Cc1ccccc1)CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1,380.53500000000014,5.209300000000004,0.0,2.0,6.050609993355087
126,CHEMBL112170,O=C(C#Cc1ccccc1)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1,394.5180000000002,4.735900000000004,0.0,2.0,5.823908740944319
127,CHEMBL305187,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,325.45200000000006,3.7688000000000033,2.0,3.0,6.0
128,CHEMBL325063,CN(C(=O)/C=C/c1ccccc1)C1CCN(Cc2ccccc2)CC1,334.4630000000001,3.8228000000000026,0.0,2.0,5.1487416512809245
129,CHEMBL112957,CN(CC#Cc1ccccc1)C1CCN(Cc2ccccc2)CC1,318.46400000000006,3.6345000000000027,0.0,2.0,5.3872161432802645
130,CHEMBL320801,C(=C\c1ccccc1)/CN(C/C=C/c1ccccc1)C1CCN(Cc2ccccc2)CC1,422.61600000000027,6.379800000000006,0.0,2.0,5.0
131,CHEMBL113449,O=C(C#Cc1ccccc1)NC1CCN(Cc2ccccc2)CC1,318.4200000000001,2.818900000000001,1.0,2.0,5.6020599913279625
132,CHEMBL2373204,COc1cccc(C(=O)NCCN2CCN(Cc3ccccc3OC)CC2)c1,383.4920000000001,2.2513999999999994,1.0,5.0,6.0
133,CHEMBL2373207,COc1cccc(C(=O)NCCN2CCN(Cc3ccc(Cl)cc3)CC2)c1,387.91100000000006,2.896200000000001,1.0,4.0,6.0
134,CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83100000000013,3.7227000000000023,1.0,4.0,6.638272163982407
135,CHEMBL359002,COc1ccccc1N1CCN(CCC(=O)NC2CCc3c(cccc3OC)C2)CC1,423.5570000000003,2.8896000000000015,1.0,5.0,6.118615343229427
136,CHEMBL356358,COc1ccccc1C(=O)NCCN1CCN(c2ccccc2OC)CC1,369.4650000000001,2.2558,1.0,5.0,6.0915149811213505
137,CHEMBL2373205,COc1cccc(-c2csc(CCN3CCN(c4ccccc4OC)CC3)n2)c1,409.5550000000001,4.192000000000003,0.0,6.0,6.060480747381382
138,CHEMBL144811,COc1ccc(OC)c(C(=O)NCCN2CCN(c3ccccc3OC)CC2)c1,399.49100000000016,2.2643999999999993,1.0,6.0,6.6020599913279625
139,CHEMBL26929,COc1ccccc1N1CCN(CCCC2CCCc3c(OC)cccc32)CC1,394.55900000000014,4.726100000000005,0.0,4.0,7.698970004336019
140,CHEMBL2373206,COc1cccc(-c2csc(CN3CCN(c4ccccc4OC)CC3)n2)c1,395.52800000000013,4.149500000000002,0.0,6.0,6.0
141,CHEMBL424125,COc1ccc2c(c1)C(CCCN1CCN(c3ccccc3OC)CC1)CCC2,394.5590000000002,4.726100000000004,0.0,4.0,6.823908740944319
142,CHEMBL2373210,COc1ccc2c(c1)CC(NC(=O)CCN1CCN(c3ccccc3OC)CC1)CC2,423.55700000000024,2.8896000000000006,1.0,5.0,6.187086643357144
